STT;Name;English Name;image;Calories;Chất đạm;Chất béo;Carbohydrate;Vitamin A;Potassium;MUFA+PUFA;Canxi;Sắt;Kẽm;Natri;Cholesterol;Magie;Beta-caroten;Vitamin C;Sodium;Transfat
32;Bánh bỏng kê;Popped millet cake;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_69.webp;286;3,7;1,6;64,2;4;;;17,4;2,1;1,2;5,5;;339,7;47,4;;;
33;Tào phớ;Soybean pudding;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_68.webp;421,4;8,7;0,7;95,1;;;;346,7;2,8;0,2;108,4;;142,4;;;;
34;Nước mía;Sugarcane juice;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_67.webp;228,9;;;;;;;;;;;;;;;;
35;Nước ép ổi (size l);Guava juice (large size);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_65.webp;346,3;3,5;;83,1;180,8;;;59,8;7,6;13,9;23,2;;127,6;2169,2;359,6;;
36;Nước ép dưa hấu;Watermelon juice;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_64.webp;85,1;5,7;1;13,4;176,1;;;38,2;4,8;0,5;21,5;;71,7;1926,3;33,5;;
37;Nước ép chanh leo;Passion fruit juice;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_63.webp;67,3;0,7;0,2;15,7;19,3;;;7,9;0,5;;8,4;;8,7;224;9;;
38;Nước ép cam (size l);Orange juice (large size);https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_62.webp;176,8;3,4;;40,8;29,4;;;130,7;1,5;0,8;13,3;;37,9;109,9;151,6;;
39;Bánh trôi tàu;Sweet glutinous rice dumplings in syrup;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_61.webp;354,8;8;7,2;64,5;0,3;;;78,8;2,8;1,5;5,9;;59,6;3,7;0,6;;
40;Bánh tráng trộn;Mixed rice paper salad;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_60.webp;436,7;12,6;14,4;63,6;13,3;;;87,3;1,8;0,4;55,2;;32,4;158,9;26,7;;
41;Bánh tiêu;Hollow fried doughnut;https://viendinhduong.vn/storage/app/uploads/public/2025/11/06/screenshot_59.webp;199,6;2,9;11,9;20,4;;;;30,9;0,8;0,7;36,4;;46,3;0,3;0,4;;
